time,gFx,gFy,gFz,TgF
0.843000,0.0039,0.9992,0.0200,0.999
0.846000,0.0029,1.0010,0.0181,1.001
0.847000,0.0032,1.0010,0.0191,1.001
0.850000,0.0046,1.0017,0.0210,1.002
0.851000,0.0059,1.0019,0.0235,1.002
0.854000,0.0090,1.0019,0.0252,1.002
0.856000,0.0107,1.0022,0.0237,1.003
0.857000,0.0112,0.9983,0.0186,0.999
0.859000,0.0120,0.9946,0.0156,0.995
0.861000,0.0120,0.9958,0.0149,0.996
0.863000,0.0122,1.0007,0.0095,1.001
0.865000,0.0142,1.0007,0.0073,1.001
0.867000,0.0129,1.0024,0.0020,1.003
0.876000,0.0056,1.0085,0.0005,1.009
0.877000,0.0051,1.0107,0.0076,1.011
0.877000,0.0061,1.0080,0.0161,1.008
0.878000,0.0046,1.0002,0.0139,1.000
0.880000,0.0054,0.9968,0.0164,0.997
0.881000,0.0095,0.9968,0.0198,0.997
0.882000,0.0103,0.9992,0.0210,1.000
0.883000,0.0100,1.0049,0.0210,1.005
0.885000,0.0061,1.0044,0.0164,1.005
0.909000,0.0068,1.0034,0.0120,1.003
0.909000,0.0059,1.0078,0.0083,1.008
0.910000,0.0059,1.0144,0.0073,1.014
0.910000,0.0046,1.0156,0.0090,1.016
0.910000,0.0017,1.0139,0.0098,1.014
0.911000,0.0017,1.0139,0.0098,1.014
0.911000,0.0056,1.0100,0.0193,1.010
0.911000,0.0056,1.0110,0.0198,1.011
0.912000,0.0088,1.0110,0.0176,1.011
0.912000,0.0186,0.9988,0.0188,0.999
0.912000,0.0176,0.9922,0.0227,0.993
0.913000,0.0054,0.9824,0.0303,0.983
0.913000,0.0034,0.9758,0.0325,0.976
0.916000,0.0046,0.9765,0.0342,0.977
0.917000,0.0151,0.9809,0.0386,0.982
0.919000,0.0181,0.9934,0.0401,0.994
0.923000,0.0120,1.0029,0.0364,1.004
0.925000,0.0071,1.0093,0.0237,1.010
0.926000,0.0064,1.0044,0.0186,1.005
0.927000,0.0068,0.9934,0.0120,0.993
0.928000,0.0076,0.9963,0.0154,0.996
0.930000,0.0127,0.9948,0.0181,0.995
0.931000,0.0086,1.0051,0.0198,1.005
0.933000,0.0078,1.0119,0.0203,1.012
0.938000,0.0191,1.0056,0.0203,1.006
0.940000,0.0134,1.0022,0.0195,1.002
0.941000,0.0103,1.0014,0.0181,1.002
0.942000,0.0049,1.0014,0.0144,1.002
0.943000,0.0090,1.0039,0.0134,1.004
0.945000,0.0117,1.0027,0.0112,1.003
0.947000,0.0144,1.0005,0.0129,1.001
0.950000,0.0117,1.0002,0.0105,1.000
0.951000,0.0037,1.0007,0.0081,1.001
0.955000,0.0037,0.9997,0.0173,1.000
0.957000,0.0022,1.0029,0.0259,1.003
0.958000,0.0046,1.0046,0.0318,1.005
0.960000,0.0090,1.0061,0.0352,1.007
0.962000,0.0188,1.0022,0.0342,1.003
0.963000,0.0156,0.9975,0.0208,0.998
0.965000,0.0090,0.9990,0.0173,0.999
0.967000,0.0005,1.0036,0.0134,1.004
0.972000,0.0024,1.0085,0.0095,1.009
0.974000,0.0049,1.0068,0.0078,1.007
0.976000,0.0127,1.0024,0.0103,1.003
0.976000,0.0129,1.0029,0.0107,1.003
0.978000,0.0107,1.0073,0.0098,1.007
0.979000,0.0078,1.0078,0.0112,1.008
0.981000,0.0046,1.0085,0.0122,1.009
0.983000,0.0046,1.0090,0.0147,1.009
0.985000,0.0056,1.0100,0.0144,1.010
0.999000,0.0086,1.0044,0.0208,1.005
1.000000,0.0061,1.0005,0.0259,1.001
1.000000,0.0049,0.9980,0.0279,0.998
